Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package,LSCS Part Number
BOOT_BUTTON,26.67,107.43,180,BUTTON_CUSYOMV1,MYBUTTON,
C.1,166.37,6.35,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C1,74.93,82.55,270,,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C10,45.72,107.71,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C10_SUPERCAP,96.52,50.8,270,CPH3225A,CAPCP3225X100N,
C1_BAT,137.16,55.88,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C1_BAT1,138.43,41.91,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C1_BAT2,123.19,40.64,0,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C2,167.64,6.35,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C2_BAT,129.54,48.26,270,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C3,134.62,43.18,90,100uF TANT,RCL_CT3528,
C4,93.98,41.91,90,4.7uF/25V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C4_USB,162.56,46.99,0,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C5,68.58,107.71,270,1uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C5_USB,162.56,48.26,0,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C6,31.75,107.71,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C7,82.55,24.13,0,10uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C8,102.87,49.53,0,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C9,7.62,102.87,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
CHANGE_BUTTON,50.8,107.43,180,BUTTON_CUSYOMV1,MYBUTTON,
CHG_LED,128.27,54.61,90,,ADAFRUIT_CHIP-LED0603,
C_DELAY,62.23,87.63,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
D1,161.29,52.07,0,USBLC6-2SC6Y,SOT95P280X145-6N,
D10,43.18,33.02,90,PGB1010603MR,DIOC1608X36N,
D11,39.37,33.02,90,PGB1010603MR,DIOC1608X36N,
